# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50
  1 0.01 0.000673469 5.38776e-07
  2 0.03 0.000632653 5.06122e-07
  3 0.05 0.000836735 6.69388e-07
  4 0.07 0.000918367 7.34694e-07
  5 0.09 0.000530612 4.2449e-07
  6 0.11 0.000326531 2.61224e-07
  7 0.13 0.000673469 5.38776e-07
  8 0.15 0.00161224 1.2898e-06
  9 0.17 0.00397959 3.18367e-06
  10 0.19 0.00863265 6.90612e-06
  11 0.21 0.0336327 2.69061e-05
  12 0.23 0.104265 8.34122e-05
  13 0.25 0.287245 0.000229796
  14 0.27 0.80749 0.000645992
  15 0.29 1.54545 0.00123636
  16 0.31 1.99394 0.00159515
  17 0.33 1.89702 0.00151762
  18 0.35 1.65563 0.00132451
  19 0.37 1.80551 0.00144441
  20 0.39 2.17182 0.00173745
  21 0.41 2.24182 0.00179345
  22 0.43 2.11553 0.00169242
  23 0.45 1.98414 0.00158731
  24 0.47 1.89853 0.00151882
  25 0.49 2.22986 0.00178389
  26 0.51 2.39012 0.0019121
  27 0.53 2.23569 0.00178856
  28 0.55 2.03594 0.00162875
  29 0.57 1.92743 0.00154194
  30 0.59 2.16612 0.0017329
  31 0.61 2.38522 0.00190818
  32 0.63 2.53818 0.00203055
  33 0.65 2.53727 0.00202981
  34 0.67 2.42818 0.00194255
  35 0.69 2.28394 0.00182715
  36 0.71 1.86927 0.00149541
  37 0.73 1.21629 0.000973029
  38 0.75 0.731184 0.000584947
  39 0.77 0.338469 0.000270776
  40 0.79 0.103939 8.3151e-05
  41 0.81 0.0170408 1.36327e-05
  42 0.83 0.00130612 1.0449e-06
  43 0.85 0.00022449 1.79592e-07
  44 0.87 0.000265306 2.12245e-07
  45 0.89 0.000408163 3.26531e-07
  46 0.91 0.000306122 2.44898e-07
  47 0.93 0.000367347 2.93878e-07
  48 0.95 0.000693878 5.55102e-07
  49 0.97 0.000755102 6.04082e-07
  50 0.99 0.000693878 5.55102e-07
99000000 50 49.999999999999986
  1 0.01 0.000979592 7.83673e-07
  2 0.03 0.000795918 6.36735e-07
  3 0.05 0.000367347 2.93878e-07
  4 0.07 0.000306122 2.44898e-07
  5 0.09 0.000469388 3.7551e-07
  6 0.11 0.000653061 5.22449e-07
  7 0.13 0.000877551 7.02041e-07
  8 0.15 0.00104082 8.32653e-07
  9 0.17 0.00183673 1.46939e-06
  10 0.19 0.006 4.8e-06
  11 0.21 0.0191837 1.53469e-05
  12 0.23 0.107122 8.5698e-05
  13 0.25 0.350776 0.00028062
  14 0.27 0.87749 0.000701992
  15 0.29 1.3099 0.00104792
  16 0.31 1.7232 0.00137856
  17 0.33 1.87965 0.00150372
  18 0.35 1.78059 0.00142447
  19 0.37 1.8241 0.00145928
  20 0.39 2.11445 0.00169156
  21 0.41 1.96088 0.0015687
  22 0.43 2.45276 0.0019622
  23 0.45 2.53271 0.00202617
  24 0.47 2.37922 0.00190338
  25 0.49 2.19559 0.00175647
  26 0.51 2.19449 0.00175559
  27 0.53 2.20355 0.00176284
  28 0.55 2.35641 0.00188513
  29 0.57 2.47702 0.00198162
  30 0.59 2.31929 0.00185543
  31 0.61 2.37208 0.00189767
  32 0.63 2.59537 0.00207629
  33 0.65 2.63898 0.00211118
  34 0.67 2.47641 0.00198113
  35 0.69 2.04363 0.00163491
  36 0.71 1.56408 0.00125127
  37 0.73 0.894612 0.00071569
  38 0.75 0.264694 0.000211755
  39 0.77 0.050898 4.07184e-05
  40 0.79 0.0123878 9.9102e-06
  41 0.81 0.00197959 1.58367e-06
  42 0.83 0.00169388 1.3551e-06
  43 0.85 0.00140816 1.12653e-06
  44 0.87 0.00165306 1.32245e-06
  45 0.89 0.00134694 1.07755e-06
  46 0.91 0.00112245 8.97959e-07
  47 0.93 0.00136735 1.09388e-06
  48 0.95 0.00144898 1.15918e-06
  49 0.97 0.00163265 1.30612e-06
  50 0.99 0.0014898 1.19184e-06
148500000 50 49.99999999999999
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0.000142857 1.14286e-07
  9 0.17 0.00140816 1.12653e-06
  10 0.19 0.00838776 6.7102e-06
  11 0.21 0.0296327 2.37061e-05
  12 0.23 0.132612 0.00010609
  13 0.25 0.419918 0.000335935
  14 0.27 0.935755 0.000748604
  15 0.29 1.36847 0.00109478
  16 0.31 1.93441 0.00154753
  17 0.33 1.814 0.0014512
  18 0.35 1.69557 0.00135646
  19 0.37 1.83967 0.00147174
  20 0.39 2.22039 0.00177631
  21 0.41 2.30547 0.00184438
  22 0.43 2.64122 0.00211298
  23 0.45 2.6331 0.00210648
  24 0.47 2.65751 0.00212601
  25 0.49 2.57404 0.00205923
  26 0.51 2.47271 0.00197817
  27 0.53 2.59235 0.00207388
  28 0.55 2.50906 0.00200725
  29 0.57 2.39949 0.00191959
  30 0.59 2.05843 0.00164674
  31 0.61 2.1832 0.00174656
  32 0.63 2.46337 0.00197069
  33 0.65 2.53651 0.00202921
  34 0.67 2.05347 0.00164278
  35 0.69 1.66976 0.0013358
  36 0.71 1.22578 0.00098062
  37 0.73 0.492449 0.000393959
  38 0.75 0.117327 9.38612e-05
  39 0.77 0.0121837 9.74694e-06
  40 0.79 0.00220408 1.76327e-06
  41 0.81 0 0
  42 0.83 0 0
  43 0.85 0 0
  44 0.87 0 0
  45 0.89 0 0
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
