# Chunk-averaged data for fix densityRegions2 and group client_coms
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 50.000000000000014
  1 0.01 1.88767 0.00151014
  2 0.03 1.88176 0.0015054
  3 0.05 1.87476 0.0014998
  4 0.07 1.88851 0.00151081
  5 0.09 1.89069 0.00151256
  6 0.11 1.88171 0.00150537
  7 0.13 1.86063 0.00148851
  8 0.15 1.8339 0.00146712
  9 0.17 1.77429 0.00141943
  10 0.19 1.66988 0.0013359
  11 0.21 1.43318 0.00114655
  12 0.23 1.08357 0.000866857
  13 0.25 0.713082 0.000570465
  14 0.27 0.442469 0.000353976
  15 0.29 0.287939 0.000230351
  16 0.31 0.242 0.0001936
  17 0.33 0.229184 0.000183347
  18 0.35 0.224796 0.000179837
  19 0.37 0.221755 0.000177404
  20 0.39 0.213755 0.000171004
  21 0.41 0.228755 0.000183004
  22 0.43 0.231878 0.000185502
  23 0.45 0.23151 0.000185208
  24 0.47 0.235082 0.000188065
  25 0.49 0.225429 0.000180343
  26 0.51 0.219286 0.000175429
  27 0.53 0.210082 0.000168065
  28 0.55 0.186408 0.000149127
  29 0.57 0.136796 0.000109437
  30 0.59 0.108816 8.70531e-05
  31 0.61 0.118878 9.5102e-05
  32 0.63 0.139653 0.000111722
  33 0.65 0.161755 0.000129404
  34 0.67 0.156449 0.000125159
  35 0.69 0.16002 0.000128016
  36 0.71 0.263265 0.000210612
  37 0.73 0.543796 0.000435037
  38 0.75 1.00284 0.000802269
  39 0.77 1.47618 0.00118095
  40 0.79 1.75808 0.00140647
  41 0.81 1.87035 0.00149628
  42 0.83 1.89412 0.0015153
  43 0.85 1.90043 0.00152034
  44 0.87 1.88165 0.00150532
  45 0.89 1.85004 0.00148003
  46 0.91 1.83929 0.00147143
  47 0.93 1.84659 0.00147727
  48 0.95 1.85592 0.00148473
  49 0.97 1.86286 0.00149029
  50 0.99 1.86827 0.00149461
99000000 50 49.999999999999986
  1 0.01 1.88451 0.00150761
  2 0.03 1.88802 0.00151042
  3 0.05 1.89592 0.00151673
  4 0.07 1.89937 0.00151949
  5 0.09 1.89263 0.00151411
  6 0.11 1.87994 0.00150395
  7 0.13 1.89069 0.00151256
  8 0.15 1.88018 0.00150415
  9 0.17 1.85227 0.00148181
  10 0.19 1.76722 0.00141378
  11 0.21 1.59533 0.00127626
  12 0.23 1.21078 0.00096862
  13 0.25 0.810306 0.000648245
  14 0.27 0.489184 0.000391347
  15 0.29 0.308 0.0002464
  16 0.31 0.230755 0.000184604
  17 0.33 0.198837 0.000159069
  18 0.35 0.177918 0.000142335
  19 0.37 0.146449 0.000117159
  20 0.39 0.134633 0.000107706
  21 0.41 0.144388 0.00011551
  22 0.43 0.165082 0.000132065
  23 0.45 0.167082 0.000133665
  24 0.47 0.176653 0.000141322
  25 0.49 0.172776 0.00013822
  26 0.51 0.172469 0.000137976
  27 0.53 0.167388 0.00013391
  28 0.55 0.159755 0.000127804
  29 0.57 0.145469 0.000116376
  30 0.59 0.12451 9.96082e-05
  31 0.61 0.102939 8.2351e-05
  32 0.63 0.0969796 7.75837e-05
  33 0.65 0.100041 8.00327e-05
  34 0.67 0.133755 0.000107004
  35 0.69 0.215082 0.000172065
  36 0.71 0.396673 0.000317339
  37 0.73 0.679041 0.000543233
  38 0.75 1.06667 0.000853339
  39 0.77 1.45263 0.00116211
  40 0.79 1.68349 0.00134679
  41 0.81 1.79408 0.00143527
  42 0.83 1.84751 0.00147801
  43 0.85 1.85265 0.00148212
  44 0.87 1.8448 0.00147584
  45 0.89 1.83649 0.00146919
