# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 4.08163e-05 3.26531e-08
  5 0.09 0.00179592 1.43673e-06
  6 0.11 0.0154694 1.23755e-05
  7 0.13 0.0962245 7.69796e-05
  8 0.15 0.311265 0.000249012
  9 0.17 1.2162 0.000972963
  10 0.19 7.81941 0.00625553
  11 0.21 42.7495 0.0341996
  12 0.23 157.192 0.125753
  13 0.25 375.651 0.300521
  14 0.27 651.878 0.521503
  15 0.29 879.847 0.703877
  16 0.31 1001.35 0.801079
  17 0.33 1054.62 0.843698
  18 0.35 1075.68 0.860545
  19 0.37 1097.37 0.877897
  20 0.39 1127.87 0.902299
  21 0.41 1131.51 0.90521
  22 0.43 1147.45 0.917962
  23 0.45 1132.91 0.906327
  24 0.47 1094.4 0.875521
  25 0.49 1079.23 0.863383
  26 0.51 1095.87 0.876696
  27 0.53 1069.75 0.8558
  28 0.55 1030.15 0.824123
  29 0.57 1033.07 0.826458
  30 0.59 1048.69 0.838955
  31 0.61 1060.5 0.848402
  32 0.63 1064.82 0.851857
  33 0.65 1067.13 0.853703
  34 0.67 1018.37 0.814694
  35 0.69 926.836 0.741469
  36 0.71 784.357 0.627486
  37 0.73 574.474 0.459579
  38 0.75 331.434 0.265147
  39 0.77 154.085 0.123268
  40 0.79 57.4338 0.045947
  41 0.81 17.862 0.0142896
  42 0.83 4.4951 0.00359608
  43 0.85 1.05718 0.000845747
  44 0.87 0.33102 0.000264816
  45 0.89 0.0806122 6.44898e-05
  46 0.91 0.0131837 1.05469e-05
  47 0.93 0.00155102 1.24082e-06
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25399.999999999996
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0.000326531 2.61224e-07
  6 0.11 0.0128776 1.0302e-05
  7 0.13 0.0591837 4.73469e-05
  8 0.15 0.193857 0.000155086
  9 0.17 0.848367 0.000678694
  10 0.19 5.24233 0.00419386
  11 0.21 28.7969 0.0230375
  12 0.23 118.296 0.0946367
  13 0.25 327.375 0.2619
  14 0.27 603.815 0.483052
  15 0.29 833.243 0.666594
  16 0.31 966.612 0.773289
  17 0.33 1039.16 0.83133
  18 0.35 1104.13 0.883305
  19 0.37 1138.54 0.910833
  20 0.39 1135.18 0.908143
  21 0.41 1144.67 0.915735
  22 0.43 1168.05 0.934437
  23 0.45 1156.55 0.925242
  24 0.47 1143.24 0.914591
  25 0.49 1127.65 0.902123
  26 0.51 1099.99 0.879993
  27 0.53 1077.66 0.862131
  28 0.55 1067.81 0.854247
  29 0.57 1091.91 0.873524
  30 0.59 1104.84 0.883874
  31 0.61 1091.96 0.873572
  32 0.63 1076.49 0.861194
  33 0.65 1071.31 0.857045
  34 0.67 1045.96 0.836766
  35 0.69 954.126 0.763301
  36 0.71 774.239 0.619391
  37 0.73 528.905 0.423124
  38 0.75 262.57 0.210056
  39 0.77 86.0159 0.0688127
  40 0.79 18.8142 0.0150514
  41 0.81 4.36727 0.00349381
  42 0.83 1.11986 0.000895886
  43 0.85 0.217857 0.000174286
  44 0.87 0.0256939 2.05551e-05
  45 0.89 0.00177551 1.42041e-06
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0.000367347 2.93878e-07
  7 0.13 0.00973469 7.78776e-06
  8 0.15 0.121898 9.75184e-05
  9 0.17 1.16096 0.000928767
  10 0.19 7.29473 0.00583579
  11 0.21 32.22 0.025776
  12 0.23 118.597 0.0948776
  13 0.25 313.043 0.250435
  14 0.27 575.933 0.460746
  15 0.29 793.203 0.634562
  16 0.31 922.206 0.737765
  17 0.33 1010.95 0.808761
  18 0.35 1064.75 0.851801
  19 0.37 1070.53 0.856422
  20 0.39 1114.43 0.89154
  21 0.41 1170.44 0.936351
  22 0.43 1196.06 0.956847
  23 0.45 1207.11 0.965689
  24 0.47 1184.52 0.947618
  25 0.49 1157.98 0.926384
  26 0.51 1149.57 0.919659
  27 0.53 1135.55 0.908436
  28 0.55 1119.69 0.895752
  29 0.57 1128.98 0.903182
  30 0.59 1133.19 0.906552
  31 0.61 1143.33 0.914666
  32 0.63 1144.61 0.915687
  33 0.65 1120.04 0.896029
  34 0.67 1065.45 0.852358
  35 0.69 939.257 0.751406
  36 0.71 709.015 0.567212
  37 0.73 415.078 0.332063
  38 0.75 174.174 0.139339
  39 0.77 56.3132 0.0450506
  40 0.79 17.0682 0.0136546
  41 0.81 5.8239 0.00465912
  42 0.83 1.84773 0.00147819
  43 0.85 0.402245 0.000321796
  44 0.87 0.0582653 4.66122e-05
  45 0.89 0.00514286 4.11429e-06
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
