# Chunk-averaged data for fix densityRegions3 and group polymer
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
49500000 50 25400
  1 0.01 0 0
  2 0.03 0.000714286 5.71429e-07
  3 0.05 0.014551 1.16408e-05
  4 0.07 0.0675918 5.40735e-05
  5 0.09 0.198714 0.000158971
  6 0.11 0.538469 0.000430776
  7 0.13 1.66371 0.00133097
  8 0.15 5.302 0.0042416
  9 0.17 17.2528 0.0138022
  10 0.19 54.8391 0.0438713
  11 0.21 151.446 0.121157
  12 0.23 330.621 0.264497
  13 0.25 576.088 0.46087
  14 0.27 806.338 0.645071
  15 0.29 925.007 0.740005
  16 0.31 947.678 0.758143
  17 0.33 943.057 0.754445
  18 0.35 926.167 0.740933
  19 0.37 926.815 0.741452
  20 0.39 949.055 0.759244
  21 0.41 944.557 0.755646
  22 0.43 916.787 0.733429
  23 0.45 909.783 0.727826
  24 0.47 953.335 0.762668
  25 0.49 1004.77 0.803816
  26 0.51 1022.48 0.817984
  27 0.53 1002.39 0.801909
  28 0.55 976.123 0.780898
  29 0.57 968.316 0.774653
  30 0.59 977.941 0.782353
  31 0.61 1001.49 0.801191
  32 0.63 1032.87 0.826297
  33 0.65 1066.63 0.853302
  34 0.67 1077.22 0.861779
  35 0.69 1034.24 0.827393
  36 0.71 919.986 0.735989
  37 0.73 771.357 0.617086
  38 0.75 581.812 0.46545
  39 0.77 379.373 0.303499
  40 0.79 197.194 0.157755
  41 0.81 74.0689 0.0592551
  42 0.83 20.0144 0.0160115
  43 0.85 4.24414 0.00339531
  44 0.87 0.750347 0.000600278
  45 0.89 0.109408 8.75265e-05
  46 0.91 0.00802041 6.41633e-06
  47 0.93 0.000326531 2.61224e-07
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
99000000 50 25400
  1 0.01 0 0
  2 0.03 6.12245e-05 4.89796e-08
  3 0.05 0.00216327 1.73061e-06
  4 0.07 0.0156735 1.25388e-05
  5 0.09 0.0894286 7.15429e-05
  6 0.11 0.301571 0.000241257
  7 0.13 0.923102 0.000738482
  8 0.15 2.51904 0.00201523
  9 0.17 7.91963 0.00633571
  10 0.19 27.8707 0.0222966
  11 0.21 94.5862 0.075669
  12 0.23 260.345 0.208276
  13 0.25 496.164 0.396931
  14 0.27 693.265 0.554612
  15 0.29 837.15 0.66972
  16 0.31 926.909 0.741528
  17 0.33 988.598 0.790878
  18 0.35 1047.86 0.838289
  19 0.37 1037.54 0.830032
  20 0.39 988.978 0.791183
  21 0.41 988.956 0.791165
  22 0.43 1009.01 0.807209
  23 0.45 1008.73 0.806982
  24 0.47 1008.77 0.807017
  25 0.49 1014.92 0.811932
  26 0.51 1028.47 0.822773
  27 0.53 1027.34 0.821874
  28 0.55 1031.76 0.825407
  29 0.57 1048.69 0.838954
  30 0.59 1036.4 0.829121
  31 0.61 1010.79 0.808632
  32 0.63 1011.73 0.809387
  33 0.65 1045.45 0.836362
  34 0.67 1052.21 0.84177
  35 0.69 1021.05 0.81684
  36 0.71 937.975 0.75038
  37 0.73 763.511 0.610809
  38 0.75 523.056 0.418445
  39 0.77 274.18 0.219344
  40 0.79 105.194 0.0841556
  41 0.81 32.3077 0.0258461
  42 0.83 7.22812 0.0057825
  43 0.85 1.10355 0.000882841
  44 0.87 0.116796 9.34367e-05
  45 0.89 0.00642857 5.14286e-06
  46 0.91 0.000183673 1.46939e-07
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
148500000 50 25400
  1 0.01 0 0
  2 0.03 2.04082e-05 1.63265e-08
  3 0.05 0.00830612 6.6449e-06
  4 0.07 0.0568367 4.54694e-05
  5 0.09 0.183592 0.000146873
  6 0.11 0.668122 0.000534498
  7 0.13 2.60163 0.00208131
  8 0.15 10.8893 0.00871144
  9 0.17 37.1383 0.0297106
  10 0.19 93.4542 0.0747634
  11 0.21 197.206 0.157765
  12 0.23 349.638 0.27971
  13 0.25 532.363 0.425891
  14 0.27 714.372 0.571498
  15 0.29 857.384 0.685907
  16 0.31 964.842 0.771873
  17 0.33 999.499 0.799599
  18 0.35 983.693 0.786954
  19 0.37 963.557 0.770845
  20 0.39 966.191 0.772952
  21 0.41 962.293 0.769835
  22 0.43 950.986 0.760789
  23 0.45 969.603 0.775682
  24 0.47 982.234 0.785787
  25 0.49 966.676 0.773341
  26 0.51 963.929 0.771143
  27 0.53 968.665 0.774932
  28 0.55 984.89 0.787912
  29 0.57 993.98 0.795184
  30 0.59 986.718 0.789374
  31 0.61 973.722 0.778978
  32 0.63 943.112 0.75449
  33 0.65 930.441 0.744353
  34 0.67 967.185 0.773748
  35 0.69 991.029 0.792823
  36 0.71 936.309 0.749047
  37 0.73 778.627 0.622902
  38 0.75 578.125 0.4625
  39 0.77 406.473 0.325179
  40 0.79 253.611 0.202889
  41 0.81 138.979 0.111183
  42 0.83 63.5684 0.0508548
  43 0.85 24.1389 0.0193111
  44 0.87 7.99137 0.00639309
  45 0.89 2.22153 0.00177722
  46 0.91 0.562714 0.000450171
  47 0.93 0.142184 0.000113747
  48 0.95 0.0349184 2.79347e-05
  49 0.97 0.00855102 6.84082e-06
  50 0.99 8.16327e-05 6.53061e-08
