LAMMPS data file for polymer system

27000 atoms
26940 bonds

1 atom types
1 bond types

0.0 42.1940968663639 xlo xhi
0.0 42.1940968663639 ylo yhi
0.0 42.1940968663639 zlo zhi

Masses

1 5.65487

Atoms

1 1 1 26.389346 30.589443 31.656573
2 1 1 26.122463 30.344250 31.542319
3 1 1 26.019732 30.083297 31.285902
4 1 1 26.242787 29.775654 31.287486
5 1 1 26.225768 29.423247 31.146349
6 1 1 26.450646 29.220218 30.916982
7 1 1 26.789790 29.196440 30.747229
8 1 1 27.169098 29.196921 30.770136
9 1 1 27.265563 29.127441 31.131062
10 1 1 26.983288 29.154594 31.384011
11 1 1 26.861030 29.043985 31.726383
12 1 1 26.557089 28.943170 31.930970
13 1 1 26.667723 28.970806 32.293457
14 1 1 26.765690 29.305117 32.445242
15 1 1 27.070660 29.429206 32.255517
16 1 1 27.087790 29.748864 32.050760
17 1 1 26.846510 29.981109 31.871186
18 1 1 26.854484 30.157298 31.534595
19 1 1 27.021119 30.498551 31.547967
20 1 1 27.341439 30.627578 31.389389
21 1 1 27.642270 30.842352 31.301224
22 1 1 27.586996 31.097943 31.025510
23 1 1 27.451810 31.220859 30.692319
24 1 1 27.493391 31.242947 30.315247
25 1 1 27.784161 31.110718 30.109411
26 1 1 27.831537 31.082466 29.733436
27 1 1 27.647076 30.873216 29.475387
28 1 1 27.546652 30.953158 29.117722
29 1 1 27.718452 30.842817 28.797239
30 1 1 27.845152 30.484567 28.795248
31 1 1 27.668816 30.168983 28.912349
32 1 1 27.691822 29.887814 28.657762
33 1 1 27.420752 29.800066 28.406323
34 1 1 27.419445 29.489391 28.187509
35 1 1 27.163512 29.488096 27.906623
36 1 1 26.887157 29.692284 27.744342
37 1 1 26.853134 29.955834 27.472710
38 1 1 26.796308 30.185920 27.175674
39 1 1 26.522709 30.027263 26.965028
40 1 1 26.271416 30.045654 26.680575
41 1 1 25.999894 29.779876 26.686752
42 1 1 25.745545 29.571067 26.876765
43 1 1 25.519865 29.275304 26.799352
44 1 1 25.338122 29.254060 26.466308
45 1 1 25.424915 28.977992 26.220029
46 1 1 25.757196 28.794006 26.208257
47 1 1 25.886898 28.437650 26.184011
48 1 1 25.774784 28.082679 26.260338
49 1 1 25.929631 27.939818 26.576586
50 1 1 26.212215 28.103588 26.770818
51 1 1 26.555012 28.121150 26.607777
52 1 1 26.679979 28.136200 26.249229
53 1 1 26.772335 27.817339 26.064302
54 1 1 27.022752 27.552741 26.172373
55 1 1 27.309167 27.674598 26.390357
56 1 1 27.550705 27.391557 26.467474
57 1 1 27.918663 27.428157 26.555035
58 1 1 28.142871 27.724810 26.633315
59 1 1 27.973754 28.051718 26.538811
60 1 1 27.821739 28.345857 26.352334
61 1 1 27.859114 28.409942 25.979647
62 1 1 28.109215 28.346890 25.700588
63 1 1 28.197005 28.649793 25.488592
64 1 1 28.005698 28.718209 25.167467
65 1 1 27.656237 28.739563 25.019749
66 1 1 27.571180 28.931393 24.702942
67 1 1 27.286677 28.797648 24.489471
68 1 1 26.980689 28.863965 24.274126
69 1 1 26.914342 29.219265 24.156822
70 1 1 27.029068 29.501015 23.929106
71 1 1 26.866702 29.696353 23.646475
72 1 1 26.623075 29.678338 23.355405
73 1 1 26.392588 29.725317 23.056961
74 1 1 26.123733 29.551731 22.852060
75 1 1 25.911302 29.702745 22.575531
76 1 1 25.988685 29.998968 22.350445
77 1 1 26.351383 30.052211 22.250369
78 1 1 26.438338 29.749217 22.038158
79 1 1 26.550559 29.754662 21.675147
80 1 1 26.318199 29.659764 21.389835
81 1 1 26.212752 29.302126 21.463154
82 1 1 26.037997 28.967670 21.507882
83 1 1 26.145564 28.603213 21.507584
84 1 1 26.506467 28.542196 21.609692
85 1 1 26.744296 28.832855 21.667610
86 1 1 26.780377 29.147735 21.877250
87 1 1 26.730645 29.048349 22.240636
88 1 1 26.507544 28.750383 22.317067
89 1 1 26.286164 28.445507 22.267652
90 1 1 26.109557 28.111783 22.310529
91 1 1 26.295591 27.843362 22.116258
92 1 1 26.571741 27.601233 22.213802
93 1 1 26.820273 27.317505 22.167650
94 1 1 26.925555 27.102946 22.463082
95 1 1 27.214326 26.855964 22.466396
96 1 1 27.287530 26.529076 22.645799
97 1 1 27.144664 26.181089 22.699601
98 1 1 26.836144 26.111969 22.910404
99 1 1 26.639357 25.799581 23.000344
100 1 1 26.481910 25.632080 23.302923
101 1 1 26.686145 25.597717 23.621525
102 1 1 26.826274 25.808822 23.904718
103 1 1 27.087213 26.082656 23.941136
104 1 1 27.431960 25.923475 23.926627
105 1 1 27.588694 25.793746 23.605683
106 1 1 27.621539 26.058583 23.335160
107 1 1 27.565271 26.434388 23.333145
108 1 1 27.321497 26.681182 23.488281
109 1 1 27.097532 26.985832 23.526073
110 1 1 26.737008 27.094055 23.474016
111 1 1 26.393781 27.094465 23.310935
112 1 1 26.136603 26.967265 23.560093
113 1 1 25.767850 27.049858 23.520104
114 1 1 25.472731 26.968847 23.745364
115 1 1 25.134850 26.988624 23.918122
116 1 1 24.803013 26.964833 24.101748
117 1 1 24.619671 27.202009 24.335272
118 1 1 24.412583 27.513909 24.270211
119 1 1 24.224119 27.843515 24.285744
120 1 1 24.096284 28.115719 24.053444
121 1 1 23.966307 28.231922 23.715801
122 1 1 23.954447 28.094691 23.361644
123 1 1 23.700285 27.923444 23.136975
124 1 1 23.618728 27.677097 22.859375
125 1 1 23.821597 27.486178 22.600929
126 1 1 23.972646 27.239277 22.354710
127 1 1 24.218552 26.988285 22.210027
128 1 1 24.026704 26.702007 22.049906
129 1 1 23.682769 26.721115 21.889458
130 1 1 23.486232 26.402091 21.826237
131 1 1 23.390442 26.214082 22.142270
132 1 1 23.428218 25.841754 22.076355
133 1 1 23.192964 25.710520 21.808337
134 1 1 22.868498 25.554566 21.929992
135 1 1 22.573776 25.787591 21.873091
136 1 1 22.482114 26.002570 21.573454
137 1 1 22.326775 26.160167 21.264532
138 1 1 22.565944 26.412644 21.111386
139 1 1 22.876720 26.576984 21.255646
140 1 1 23.127797 26.827792 21.119795
141 1 1 23.383621 26.886084 21.394670
142 1 1 23.200598 27.064194 21.676058
143 1 1 22.997631 27.224326 21.954558
144 1 1 22.650460 27.227796 22.109025
145 1 1 22.449507 26.905505 22.096947
146 1 1 22.301165 26.557407 22.061978
147 1 1 21.927213 26.544965 21.995602
148 1 1 21.600477 26.580321 21.804833
149 1 1 21.281613 26.403411 21.697928
150 1 1 21.288743 26.193838 21.381024
151 1 1 21.260370 26.385118 21.053905
152 1 1 21.022183 26.670089 20.973541
153 1 1 20.653508 26.740860 20.914634
154 1 1 20.502657 26.856378 20.585545
155 1 1 20.272848 27.140894 20.482404
156 1 1 20.335052 27.395147 20.206929
157 1 1 20.432787 27.234811 19.876565
158 1 1 20.631648 27.407857 19.602870
159 1 1 20.608451 27.343521 19.229075
160 1 1 20.559161 27.154744 18.902986
161 1 1 20.636252 27.301302 18.560966
162 1 1 20.749704 27.069350 18.282171
163 1 1 21.100834 26.991495 18.159508
164 1 1 21.207332 26.630746 18.213528
165 1 1 21.134920 26.312217 18.407681
166 1 1 21.097892 26.095843 18.717861
167 1 1 21.073897 26.210595 19.079324
168 1 1 21.096906 26.586531 19.129752
169 1 1 21.012417 26.792166 19.437934
170 1 1 21.211710 26.971774 19.707050
171 1 1 21.001123 26.935548 20.021280
172 1 1 21.177911 27.106027 20.311251
173 1 1 21.456450 26.906552 20.475646
174 1 1 21.543564 26.625729 20.234919
175 1 1 21.733209 26.296746 20.220595
176 1 1 21.863988 26.017508 19.998507
177 1 1 21.966907 25.651711 19.998654
178 1 1 22.009736 25.540639 20.359526
179 1 1 21.836885 25.771610 20.606861
180 1 1 21.800947 25.781942 20.985017
181 1 1 21.934831 25.446159 21.102170
182 1 1 22.088175 25.164164 20.898788
183 1 1 22.395516 24.999135 21.049476
184 1 1 22.705350 25.192888 20.945254
185 1 1 23.044713 25.029699 20.894241
186 1 1 23.351269 24.999815 20.671687
187 1 1 23.689400 24.827144 20.687561
188 1 1 23.886344 24.879071 21.008367
189 1 1 24.099164 24.614767 21.179396
190 1 1 24.178959 24.343693 21.433467
191 1 1 24.155400 23.993288 21.578593
192 1 1 24.409580 23.729324 21.679169
193 1 1 24.470233 23.503649 21.978822
194 1 1 24.358191 23.568806 22.336035
195 1 1 24.059074 23.802511 22.353674
196 1 1 23.687265 23.834087 22.425511
197 1 1 23.647303 23.832643 22.803401
198 1 1 23.329349 23.884094 23.005038
199 1 1 23.266824 24.256699 23.045735
200 1 1 23.168723 24.621017 23.090998
201 1 1 23.036336 24.923369 22.902698
202 1 1 23.045646 24.931054 22.522890
203 1 1 23.308865 24.812888 22.275600
204 1 1 23.344426 25.038913 21.972205
205 1 1 23.402077 24.954855 21.606131
206 1 1 23.578769 25.240279 21.428051
207 1 1 23.899478 25.329314 21.611404
208 1 1 24.153282 25.592241 21.715583
209 1 1 24.256769 25.957786 21.707385
210 1 1 24.627345 25.996875 21.781853
211 1 1 24.865588 25.703043 21.817955
212 1 1 24.984333 25.486889 22.107052
213 1 1 24.925293 25.587128 22.468806
214 1 1 25.229773 25.726540 22.648407
215 1 1 25.234482 25.811707 23.018710
216 1 1 25.508628 25.897923 23.267327
217 1 1 25.864882 25.769902 23.300402
218 1 1 25.946254 25.513006 23.032478
219 1 1 25.709365 25.216726 23.054866
220 1 1 25.445531 25.028220 22.856732
221 1 1 25.258796 24.728306 22.996667
222 1 1 24.933296 24.697626 23.190339
223 1 1 24.650841 24.929529 23.294456
224 1 1 24.540475 24.807482 23.636982
225 1 1 24.244388 24.632803 23.798907
226 1 1 23.919548 24.798513 23.905768
227 1 1 24.027362 25.108581 24.097168
228 1 1 24.020456 25.488333 24.085294
229 1 1 23.896598 25.685465 23.784964
230 1 1 23.548956 25.648026 23.636156
231 1 1 23.205496 25.794826 23.706047
232 1 1 22.901493 25.924876 23.893315
233 1 1 22.691846 26.240295 23.862348
234 1 1 22.411311 26.453064 23.719416
235 1 1 22.440305 26.831774 23.731189
236 1 1 22.234499 27.019308 23.989791
237 1 1 22.086971 27.293280 24.207907
238 1 1 21.852276 27.534591 24.384222
239 1 1 21.604846 27.684740 24.137983
240 1 1 21.488985 27.794767 23.793208
241 1 1 21.268208 27.581487 23.569222
242 1 1 20.977195 27.487047 23.343850
243 1 1 21.087811 27.465416 22.980950
244 1 1 21.069760 27.146109 22.775725
245 1 1 21.064608 26.807853 22.948804
246 1 1 21.227611 26.854012 23.288951
247 1 1 21.544423 27.058650 23.335359
248 1 1 21.915753 27.137720 23.319177
249 1 1 22.115731 26.881675 23.122074
250 1 1 22.313661 26.944779 22.803888
251 1 1 22.608748 27.180486 22.761866
252 1 1 22.955368 27.279143 22.641363
253 1 1 22.935822 27.631124 22.499493
254 1 1 22.587289 27.759411 22.579912
255 1 1 22.265580 27.777840 22.378507
256 1 1 22.091801 28.115696 22.385869
257 1 1 21.752058 28.251464 22.488541
258 1 1 21.395896 28.340408 22.586713
259 1 1 21.052960 28.480754 22.670962
260 1 1 20.819766 28.779298 22.700821
261 1 1 20.570440 28.789355 22.987413
262 1 1 20.630111 28.550014 23.276473
263 1 1 20.732044 28.556795 23.642483
264 1 1 20.661449 28.738453 23.968699
265 1 1 20.301454 28.859620 23.957636
266 1 1 19.985061 28.723927 23.796754
267 1 1 19.947907 28.534134 23.469649
268 1 1 20.061401 28.256895 23.235859
269 1 1 20.335609 27.995380 23.264487
270 1 1 20.259787 27.662381 23.097864
271 1 1 20.182913 27.388530 22.845880
272 1 1 20.146637 27.256174 22.491527
273 1 1 19.787749 27.133212 22.469619
274 1 1 19.498972 27.357361 22.573372
275 1 1 19.185672 27.146267 22.532351
276 1 1 18.881139 27.259062 22.729675
277 1 1 18.629275 26.975157 22.748714
278 1 1 18.267494 26.977544 22.632488
279 1 1 18.040047 27.043886 22.929585
280 1 1 17.834738 26.823340 23.161118
281 1 1 17.603757 26.613773 23.378212
282 1 1 17.413076 26.294526 23.299969
283 1 1 17.558969 26.017279 23.515026
284 1 1 17.412123 26.024799 23.865425
285 1 1 17.191270 25.729470 23.957104
286 1 1 17.283713 25.598571 24.301661
287 1 1 17.254897 25.735367 24.655011
288 1 1 17.402315 25.546594 24.950024
289 1 1 17.147025 25.590038 25.228124
290 1 1 16.786321 25.518521 25.132321
291 1 1 16.447474 25.488988 25.301762
292 1 1 16.191859 25.325697 25.072858
293 1 1 16.260886 25.380487 24.703218
294 1 1 16.001315 25.186476 24.504770
295 1 1 16.070661 25.045125 24.158921
296 1 1 16.200311 24.841394 23.865519
297 1 1 16.249009 24.480952 23.755474
298 1 1 16.496522 24.455324 23.468279
299 1 1 16.573706 24.632643 23.141170
300 1 1 16.933947 24.579307 23.032626
301 1 1 17.255169 24.587781 22.829785
302 1 1 17.526284 24.686632 22.582550
303 1 1 17.893510 24.664336 22.677670
304 1 1 18.183359 24.611120 22.437763
305 1 1 18.131354 24.805224 22.115243
306 1 1 17.759205 24.815699 22.039115
307 1 1 17.729639 24.695138 21.679962
308 1 1 17.646532 24.471991 21.383822
309 1 1 17.629552 24.093061 21.360939
310 1 1 17.767986 23.835213 21.118554
311 1 1 17.553512 23.647901 20.866929
312 1 1 17.356593 23.917410 20.685303
313 1 1 17.242653 23.889197 20.323886
314 1 1 17.462397 23.975702 20.026180
315 1 1 17.600503 23.640881 19.911195
316 1 1 17.686291 23.636700 19.541028
317 1 1 17.768904 23.878708 19.259947
318 1 1 17.513146 24.136144 19.147187
319 1 1 17.335482 24.136294 18.811277
320 1 1 17.093589 24.364440 18.627327
321 1 1 17.052627 24.463338 18.262716
322 1 1 16.718818 24.548022 18.102091
323 1 1 16.487054 24.836401 18.015360
324 1 1 16.669310 25.164304 18.075878
325 1 1 17.036712 25.111096 17.994729
326 1 1 17.413767 25.158294 17.995951
327 1 1 17.790318 25.187036 18.038181
328 1 1 18.019516 25.340737 17.776946
329 1 1 18.273781 25.073925 17.684422
330 1 1 18.612627 25.233848 17.747729
331 1 1 18.914122 25.181943 17.973132
332 1 1 19.257746 25.328261 17.903033
333 1 1 19.606422 25.450173 17.992264
334 1 1 19.901070 25.330260 17.784410
335 1 1 20.214534 25.214979 17.965656
336 1 1 20.301030 25.416147 18.276221
337 1 1 20.306294 25.224915 18.604554
338 1 1 20.240856 25.388847 18.941072
339 1 1 19.872186 25.455811 19.004307
340 1 1 19.767408 25.650850 19.313145
341 1 1 19.586360 25.984910 19.318201
342 1 1 19.756363 26.317296 19.389042
343 1 1 20.079814 26.510244 19.338539
344 1 1 20.399885 26.357078 19.202543
345 1 1 20.628162 26.259803 19.490340
346 1 1 20.618743 26.387392 19.848156
347 1 1 20.556565 26.094454 20.082082
348 1 1 20.529415 25.717910 20.038748
349 1 1 20.782464 25.505835 20.226871
350 1 1 20.992411 25.284909 19.999905
351 1 1 21.336060 25.380518 19.868891
352 1 1 21.423415 25.717546 19.716638
353 1 1 21.639577 25.636572 19.414782
354 1 1 21.894707 25.904188 19.327088
355 1 1 22.240188 25.750202 19.290605
356 1 1 22.490860 25.906052 19.529925
357 1 1 22.550718 26.277984 19.480087
358 1 1 22.520413 26.630147 19.619597
359 1 1 22.643705 26.910385 19.394507
360 1 1 22.500342 26.943082 19.044111
361 1 1 22.674316 27.184738 18.808027
362 1 1 22.930415 27.016224 18.583491
363 1 1 23.045756 26.727657 18.364800
364 1 1 23.054007 26.519736 18.046836
365 1 1 23.358119 26.367261 17.877524
366 1 1 23.463059 26.122016 17.606890
367 1 1 23.307681 25.862152 17.377264
368 1 1 23.457393 25.802439 17.033141
369 1 1 23.162057 25.732619 16.804446
370 1 1 23.213062 25.521312 16.492760
371 1 1 22.984345 25.255933 16.345580
372 1 1 22.779822 25.046824 16.588157
373 1 1 22.467423 24.874895 16.719487
374 1 1 22.125373 25.032758 16.769295
375 1 1 21.990308 25.244533 16.484149
376 1 1 22.152910 25.265236 16.141319
377 1 1 22.307325 25.609338 16.094959
378 1 1 22.500541 25.882426 16.275211
379 1 1 22.693186 26.078631 16.012930
380 1 1 23.071350 26.085971 15.976345
381 1 1 23.382415 26.245332 16.125486
382 1 1 23.408091 26.358810 16.487237
383 1 1 23.446882 26.493115 16.840588
384 1 1 23.786055 26.653599 16.900641
385 1 1 23.979087 26.967661 16.992856
386 1 1 24.332926 27.099747 16.951000
387 1 1 24.531849 27.186866 17.262833
388 1 1 24.489184 27.412529 17.565580
389 1 1 24.455291 27.731603 17.769156
390 1 1 24.774220 27.921308 17.850986
391 1 1 25.053493 27.726461 17.682342
392 1 1 25.183763 27.477844 17.426178
393 1 1 25.409399 27.628097 17.159884
